Electoral wards and divisions Code,Electoral wards and divisions,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E05009374,Hackney Wick,3,3. Associate professional and technical occupations,1267
E05009374,Hackney Wick,4,4. Administrative and secretarial occupations,398
E05009374,Hackney Wick,5,5. Skilled trades occupations,346
E05009374,Hackney Wick,6,"6. Caring, leisure and other service occupations",572
E05009374,Hackney Wick,7,7. Sales and customer service occupations,330
E05009374,Hackney Wick,8,"8. Process, plant and machine operatives",266
E05009374,Hackney Wick,9,9. Elementary occupations,593
E05009375,Haggerston,-8,Does not apply,6417
E05009375,Haggerston,1,"1. Managers, directors and senior officials",1080
E05009375,Haggerston,2,2. Professional occupations,2580
E05009375,Haggerston,3,3. Associate professional and technical occupations,1673
E05009375,Haggerston,4,4. Administrative and secretarial occupations,442
E05009375,Haggerston,5,5. Skilled trades occupations,343
E05009375,Haggerston,6,"6. Caring, leisure and other service occupations",533
E05009375,Haggerston,7,7. Sales and customer service occupations,448
E05009375,Haggerston,8,"8. Process, plant and machine operatives",267
E05009375,Haggerston,9,9. Elementary occupations,624
E05009376,Homerton,-8,Does not apply,7101
E05009376,Homerton,1,"1. Managers, directors and senior officials",758
E05009376,Homerton,2,2. Professional occupations,1776
E05009376,Homerton,3,3. Associate professional and technical occupations,1303
E05009376,Homerton,4,4. Administrative and secretarial occupations,448
E05009376,Homerton,5,5. Skilled trades occupations,366
E05009376,Homerton,6,"6. Caring, leisure and other service occupations",630
E05009376,Homerton,7,7. Sales and customer service occupations,462
E05009376,Homerton,8,"8. Process, plant and machine operatives",227
E05009376,Homerton,9,9. Elementary occupations,814
E05009377,Hoxton East & Shoreditch,-8,Does not apply,5027
E05009377,Hoxton East & Shoreditch,1,"1. Managers, directors and senior officials",1066
E05009377,Hoxton East & Shoreditch,2,2. Professional occupations,2193
E05009377,Hoxton East & Shoreditch,3,3. Associate professional and technical occupations,1372
E05009377,Hoxton East & Shoreditch,4,4. Administrative and secretarial occupations,368
E05009377,Hoxton East & Shoreditch,5,5. Skilled trades occupations,271
E05009377,Hoxton East & Shoreditch,6,"6. Caring, leisure and other service occupations",370
E05009377,Hoxton East & Shoreditch,7,7. Sales and customer service occupations,339
E05009377,Hoxton East & Shoreditch,8,"8. Process, plant and machine operatives",225
E05009377,Hoxton East & Shoreditch,9,9. Elementary occupations,536
E05009378,Hoxton West,-8,Does not apply,6068
E05009378,Hoxton West,1,"1. Managers, directors and senior officials",1130
E05009378,Hoxton West,2,2. Professional occupations,2497
E05009378,Hoxton West,3,3. Associate professional and technical occupations,1505
E05009378,Hoxton West,4,4. Administrative and secretarial occupations,484
E05009378,Hoxton West,5,5. Skilled trades occupations,301
E05009378,Hoxton West,6,"6. Caring, leisure and other service occupations",505
E05009378,Hoxton West,7,7. Sales and customer service occupations,437
E05009378,Hoxton West,8,"8. Process, plant and machine operatives",221
E05009378,Hoxton West,9,9. Elementary occupations,604
E05009379,King's Park,-8,Does not apply,7085
E05009379,King's Park,1,"1. Managers, directors and senior officials",712
E05009379,King's Park,2,2. Professional occupations,1448
E05009379,King's Park,3,3. Associate professional and technical occupations,1203
E05009379,King's Park,4,4. Administrative and secretarial occupations,396
E05009379,King's Park,5,5. Skilled trades occupations,347
E05009379,King's Park,6,"6. Caring, leisure and other service occupations",577
E05009379,King's Park,7,7. Sales and customer service occupations,376
E05009379,King's Park,8,"8. Process, plant and machine operatives",268
E05009379,King's Park,9,9. Elementary occupations,648
E05009380,Lea Bridge (Hackney),-8,Does not apply,6798
