Electoral wards and divisions Code,Electoral wards and divisions,General health (6 categories) Code,General health (6 categories),Observation
E05009379,King's Park,1,Very good health,6831
E05009379,King's Park,2,Good health,3904
E05009379,King's Park,3,Fair health,1535
E05009379,King's Park,4,Bad health,582
E05009379,King's Park,5,Very bad health,209
E05009380,Lea Bridge (Hackney),-8,Does not apply,0
E05009380,Lea Bridge (Hackney),1,Very good health,7959
E05009380,Lea Bridge (Hackney),2,Good health,4077
E05009380,Lea Bridge (Hackney),3,Fair health,1401
E05009380,Lea Bridge (Hackney),4,Bad health,457
E05009380,Lea Bridge (Hackney),5,Very bad health,230
E05009381,London Fields,-8,Does not apply,0
E05009381,London Fields,1,Very good health,6905
E05009381,London Fields,2,Good health,3601
E05009381,London Fields,3,Fair health,1368
E05009381,London Fields,4,Bad health,586
E05009381,London Fields,5,Very bad health,222
E05009382,Shacklewell,-8,Does not apply,0
E05009382,Shacklewell,1,Very good health,4993
E05009382,Shacklewell,2,Good health,2717
E05009382,Shacklewell,3,Fair health,965
E05009382,Shacklewell,4,Bad health,316
E05009382,Shacklewell,5,Very bad health,134
E05009383,Springfield,-8,Does not apply,0
E05009383,Springfield,1,Very good health,9846
E05009383,Springfield,2,Good health,3458
E05009383,Springfield,3,Fair health,1307
E05009383,Springfield,4,Bad health,515
E05009383,Springfield,5,Very bad health,193
E05009384,Stamford Hill West,-8,Does not apply,0
E05009384,Stamford Hill West,1,Very good health,6992
E05009384,Stamford Hill West,2,Good health,2195
E05009384,Stamford Hill West,3,Fair health,764
E05009384,Stamford Hill West,4,Bad health,288
E05009384,Stamford Hill West,5,Very bad health,106
E05009385,Stoke Newington,-8,Does not apply,0
E05009385,Stoke Newington,1,Very good health,7555
E05009385,Stoke Newington,2,Good health,3895
E05009385,Stoke Newington,3,Fair health,1324
E05009385,Stoke Newington,4,Bad health,442
E05009385,Stoke Newington,5,Very bad health,166
E05009386,Victoria (Hackney),-8,Does not apply,0
E05009386,Victoria (Hackney),1,Very good health,6672
E05009386,Victoria (Hackney),2,Good health,3522
E05009386,Victoria (Hackney),3,Fair health,1294
E05009386,Victoria (Hackney),4,Bad health,491
E05009386,Victoria (Hackney),5,Very bad health,176
E05009387,Woodberry Down,-8,Does not apply,0
E05009387,Woodberry Down,1,Very good health,6707
E05009387,Woodberry Down,2,Good health,3510
E05009387,Woodberry Down,3,Fair health,1287
E05009387,Woodberry Down,4,Bad health,449
E05009387,Woodberry Down,5,Very bad health,160
E05009388,Abingdon,-8,Does not apply,0
E05009388,Abingdon,1,Very good health,4926
E05009388,Abingdon,2,Good health,2148
E05009388,Abingdon,3,Fair health,584
E05009388,Abingdon,4,Bad health,173
E05009388,Abingdon,5,Very bad health,63
E05009389,Brompton & Hans Town,-8,Does not apply,0
E05009389,Brompton & Hans Town,1,Very good health,5091
E05009389,Brompton & Hans Town,2,Good health,1955
E05009389,Brompton & Hans Town,3,Fair health,546
E05009389,Brompton & Hans Town,4,Bad health,147
E05009389,Brompton & Hans Town,5,Very bad health,50
E05009390,Campden,-8,Does not apply,0
E05009390,Campden,1,Very good health,5810
E05009390,Campden,2,Good health,2106
E05009390,Campden,3,Fair health,521
E05009390,Campden,4,Bad health,155
E05009390,Campden,5,Very bad health,32
E05009391,Chelsea Riverside,-8,Does not apply,0
E05009391,Chelsea Riverside,1,Very good health,4036
E05009391,Chelsea Riverside,2,Good health,2134
E05009391,Chelsea Riverside,3,Fair health,925
