Electoral wards and divisions Code,Electoral wards and divisions,Residence type (2 categories) Code,Residence type (2 categories),Observation
E05011116,South Bermondsey,1,Lives in a household,15934
E05011116,South Bermondsey,2,Lives in a communal establishment,11
E05011117,Surrey Docks,1,Lives in a household,13001
E05011117,Surrey Docks,2,Lives in a communal establishment,7
E05011217,Barnehurst,1,Lives in a household,11601
E05011217,Barnehurst,2,Lives in a communal establishment,77
E05011218,Belvedere,1,Lives in a household,17683
E05011218,Belvedere,2,Lives in a communal establishment,7
E05011219,Bexleyheath,1,Lives in a household,15560
E05011219,Bexleyheath,2,Lives in a communal establishment,58
E05011220,Blackfen & Lamorbey,1,Lives in a household,16634
E05011220,Blackfen & Lamorbey,2,Lives in a communal establishment,92
E05011221,Blendon & Penhill,1,Lives in a household,15632
E05011221,Blendon & Penhill,2,Lives in a communal establishment,1
E05011222,Crayford,1,Lives in a household,16210
E05011222,Crayford,2,Lives in a communal establishment,71
E05011223,Crook Log,1,Lives in a household,15128
E05011223,Crook Log,2,Lives in a communal establishment,131
E05011224,East Wickham,1,Lives in a household,15840
E05011224,East Wickham,2,Lives in a communal establishment,73
E05011225,Erith,1,Lives in a household,13063
E05011225,Erith,2,Lives in a communal establishment,39
E05011226,Falconwood & Welling,1,Lives in a household,16573
E05011226,Falconwood & Welling,2,Lives in a communal establishment,0
E05011227,Longlands,1,Lives in a household,9901
E05011227,Longlands,2,Lives in a communal establishment,177
E05011228,Northumberland Heath,1,Lives in a household,11132
E05011228,Northumberland Heath,2,Lives in a communal establishment,11
E05011229,St Mary's & St James (Bexley),1,Lives in a household,10722
E05011229,St Mary's & St James (Bexley),2,Lives in a communal establishment,25
E05011230,Sidcup,1,Lives in a household,15073
E05011230,Sidcup,2,Lives in a communal establishment,348
E05011231,Slade Green & Northend,1,Lives in a household,12745
E05011231,Slade Green & Northend,2,Lives in a communal establishment,4
E05011232,Thamesmead East,1,Lives in a household,15833
E05011232,Thamesmead East,2,Lives in a communal establishment,93
E05011233,West Heath (Bexley),1,Lives in a household,15936
E05011233,West Heath (Bexley),2,Lives in a communal establishment,0
E05011234,Aldborough,1,Lives in a household,15327
E05011234,Aldborough,2,Lives in a communal establishment,135
E05011235,Barkingside,1,Lives in a household,15319
E05011235,Barkingside,2,Lives in a communal establishment,6
E05011236,Bridge (Redbridge),1,Lives in a household,13379
E05011236,Bridge (Redbridge),2,Lives in a communal establishment,13
E05011237,Chadwell,1,Lives in a household,16404
E05011237,Chadwell,2,Lives in a communal establishment,125
