Electoral wards and divisions Code,Electoral wards and divisions,Sex (2 categories) Code,Sex (2 categories),Observation
E05011465,Broad Green,1,Female,10366
E05011465,Broad Green,2,Male,9856
E05011466,Coulsdon Town,1,Female,7903
E05011466,Coulsdon Town,2,Male,7517
E05011467,Crystal Palace & Upper Norwood,1,Female,8554
E05011467,Crystal Palace & Upper Norwood,2,Male,7798
E05011468,Fairfield (Croydon),1,Female,7642
E05011468,Fairfield (Croydon),2,Male,7703
E05011469,Kenley,1,Female,5615
E05011469,Kenley,2,Male,5370
E05011470,New Addington North,1,Female,5968
E05011470,New Addington North,2,Male,4968
E05011471,New Addington South,1,Female,5932
E05011471,New Addington South,2,Male,5396
E05011472,Norbury & Pollards Hill,1,Female,6378
E05011472,Norbury & Pollards Hill,2,Male,5767
E05011473,Norbury Park,1,Female,5610
E05011473,Norbury Park,2,Male,5217
E05011474,Old Coulsdon,1,Female,5279
E05011474,Old Coulsdon,2,Male,4831
E05011475,Park Hill & Whitgift,1,Female,2925
E05011475,Park Hill & Whitgift,2,Male,2862
E05011476,Purley & Woodcote,1,Female,7872
E05011476,Purley & Woodcote,2,Male,7312
E05011477,Purley Oaks & Riddlesdown,1,Female,4980
E05011477,Purley Oaks & Riddlesdown,2,Male,4735
E05011478,Sanderstead,1,Female,8182
E05011478,Sanderstead,2,Male,7592
E05011479,Selhurst,1,Female,6918
E05011479,Selhurst,2,Male,6269
E05011480,Selsdon & Addington Village,1,Female,5175
E05011480,Selsdon & Addington Village,2,Male,4753
E05011481,Selsdon Vale & Forestdale,1,Female,5259
E05011481,Selsdon Vale & Forestdale,2,Male,4753
E05011482,Shirley North,1,Female,8188
E05011482,Shirley North,2,Male,7214
E05011483,Shirley South (Croydon),1,Female,5640
E05011483,Shirley South (Croydon),2,Male,4982
E05011484,South Croydon,1,Female,9258
E05011484,South Croydon,2,Male,8806
E05011485,South Norwood,1,Female,8679
E05011485,South Norwood,2,Male,7768
E05011486,Thornton Heath,1,Female,9513
E05011486,Thornton Heath,2,Male,8489
E05011487,Waddon,1,Female,9680
E05011487,Waddon,2,Male,9004
E05011488,West Thornton,1,Female,9741
E05011488,West Thornton,2,Male,9023
E05011489,Woodside (Croydon),1,Female,8968
E05011489,Woodside (Croydon),2,Male,7903
E05013496,Alperton,1,Female,7471
E05013496,Alperton,2,Male,7585
E05013497,Barnhill,1,Female,5928
E05013497,Barnhill,2,Male,5493
E05013498,Brondesbury Park,1,Female,6883
E05013498,Brondesbury Park,2,Male,6552
E05013499,Cricklewood & Mapesbury,1,Female,7203
E05013499,Cricklewood & Mapesbury,2,Male,6946
E05013500,Dollis Hill,1,Female,11025
E05013500,Dollis Hill,2,Male,10823
E05013501,Harlesden & Kensal Green,1,Female,10604
E05013501,Harlesden & Kensal Green,2,Male,9472
E05013502,Kenton (Brent),1,Female,8928
E05013502,Kenton (Brent),2,Male,8758
E05013503,Kilburn (Brent),1,Female,8981
E05013503,Kilburn (Brent),2,Male,8231
E05013504,Kingsbury (Brent),1,Female,5642
E05013504,Kingsbury (Brent),2,Male,5595
E05013505,Northwick Park,1,Female,6378
E05013505,Northwick Park,2,Male,5989
E05013506,Preston (Brent),1,Female,6211
E05013506,Preston (Brent),2,Male,6450
E05013507,Queens Park (Brent),1,Female,9168
E05013507,Queens Park (Brent),2,Male,7990
E05013508,Queensbury (Brent),1,Female,8501
E05013508,Queensbury (Brent),2,Male,8688
E05013509,Roundwood,1,Female,8956
E05013509,Roundwood,2,Male,7751
E05013510,Stonebridge,1,Female,10636
E05013510,Stonebridge,2,Male,9619
E05013511,Sudbury,1,Female,6890
E05013511,Sudbury,2,Male,7048
E05013512,Tokyngton,1,Female,4910
E05013512,Tokyngton,2,Male,5096
E05013513,Welsh Harp,1,Female,9037
E05013513,Welsh Harp,2,Male,8884
E05013514,Wembley Central,1,Female,8779
E05013514,Wembley Central,2,Male,9144
E05013515,Wembley Hill,1,Female,7409
E05013515,Wembley Hill,2,Male,7655
E05013516,Wembley Park,1,Female,3942
E05013516,Wembley Park,2,Male,3606
E05013517,Willesden Green,1,Female,9636
E05013517,Willesden Green,2,Male,9321
E05013518,Central Greenford,1,Female,7196
E05013518,Central Greenford,2,Male,7157
E05013519,Dormers Wells,1,Female,7855
E05013519,Dormers Wells,2,Male,7756
E05013520,Ealing Broadway,1,Female,7064
E05013520,Ealing Broadway,2,Male,6854
E05013521,Ealing Common,1,Female,8121
E05013521,Ealing Common,2,Male,7824
E05013522,East Acton,1,Female,7821
E05013522,East Acton,2,Male,7389
E05013523,Greenford Broadway,1,Female,8973
E05013523,Greenford Broadway,2,Male,8411
E05013524,Hanger Hill,1,Female,8590
E05013524,Hanger Hill,2,Male,8454
E05013525,Hanwell Broadway,1,Female,7969
E05013525,Hanwell Broadway,2,Male,7321
E05013526,Lady Margaret,1,Female,7817
E05013526,Lady Margaret,2,Male,7968
E05013527,North Acton,1,Female,9649
E05013527,North Acton,2,Male,9394
E05013528,North Greenford,1,Female,7836
E05013528,North Greenford,2,Male,7722
E05013529,North Hanwell,1,Female,7757
E05013529,North Hanwell,2,Male,7283
E05013530,Northfield (Ealing),1,Female,7392
E05013530,Northfield (Ealing),2,Male,6873
E05013531,Northolt Mandeville,1,Female,8981
E05013531,Northolt Mandeville,2,Male,8551
E05013532,Northolt West End,1,Female,8450
E05013532,Northolt West End,2,Male,8086
E05013533,Norwood Green,1,Female,8040
E05013533,Norwood Green,2,Male,8055
E05013534,Perivale,1,Female,7926
E05013534,Perivale,2,Male,8259
E05013535,Pitshanger,1,Female,7918
E05013535,Pitshanger,2,Male,7251
E05013536,South Acton,1,Female,8721
E05013536,South Acton,2,Male,8101
E05013537,Southall Broadway,1,Female,5203
E05013537,Southall Broadway,2,Male,5622
E05013538,Southall Green,1,Female,7569
E05013538,Southall Green,2,Male,8125
E05013539,Southall West,1,Female,3178
E05013539,Southall West,2,Male,3403
E05013540,Southfield,1,Female,8682
E05013540,Southfield,2,Male,7793
E05013541,Walpole,1,Female,7497
E05013541,Walpole,2,Male,7259
E05013542,Belmont (Harrow),1,Female,4562
E05013542,Belmont (Harrow),2,Male,4459
E05013543,Canons,1,Female,5055
E05013543,Canons,2,Male,4680
E05013544,Centenary,1,Female,7462
E05013544,Centenary,2,Male,7739
E05013545,Edgware (Harrow),1,Female,7802
E05013545,Edgware (Harrow),2,Male,7911
E05013546,Greenhill (Harrow),1,Female,5528
E05013546,Greenhill (Harrow),2,Male,5487
E05013547,Harrow on the Hill,1,Female,5150
E05013547,Harrow on the Hill,2,Male,5636
E05013548,Harrow Weald,1,Female,7396
E05013548,Harrow Weald,2,Male,6947
