Electoral wards and divisions Code,Electoral wards and divisions,Passports held (27 categories) Code,Passports held (27 categories),Observation
E05009330,St Katharine's & Wapping,20,Middle East and Asia: South-East Asia,105
E05009330,St Katharine's & Wapping,21,Middle East and Asia: Central Asia,8
E05009330,St Katharine's & Wapping,22,The Americas and the Caribbean: North America and the Caribbean,247
E05009330,St Katharine's & Wapping,23,The Americas and the Caribbean: Central and South America,102
E05009330,St Katharine's & Wapping,24,"Antarctica and Oceania, including Australasia",139
E05009330,St Katharine's & Wapping,25,British Overseas Territories,0
E05009330,St Katharine's & Wapping,26,No passport held,327
E05009331,St Peter's (Tower Hamlets),-8,Does not apply,0
E05009331,St Peter's (Tower Hamlets),1,Europe: United Kingdom,14029
E05009331,St Peter's (Tower Hamlets),2,Europe: Ireland,294
E05009331,St Peter's (Tower Hamlets),3,Europe: Other Europe: EU Member countries: France,325
E05009331,St Peter's (Tower Hamlets),4,Europe: Other Europe: EU Member countries: Germany,146
E05009331,St Peter's (Tower Hamlets),5,Europe: Other Europe: EU Member countries: Italy,804
E05009331,St Peter's (Tower Hamlets),6,Europe: Other Europe: EU Member countries: Portugal,167
E05009331,St Peter's (Tower Hamlets),7,Europe: Other Europe: EU Member countries: Spain,320
E05009331,St Peter's (Tower Hamlets),8,Europe: Other Europe: EU Member countries: Lithuania,61
E05009331,St Peter's (Tower Hamlets),9,Europe: Other Europe: EU Member countries: Poland,157
E05009331,St Peter's (Tower Hamlets),10,Europe: Other Europe: EU Member countries: Romania,90
E05009331,St Peter's (Tower Hamlets),11,Europe: Other Europe: EU Member countries: Other EU countries,557
E05009331,St Peter's (Tower Hamlets),12,Europe: Other Europe: Rest of Europe: Turkey,49
E05009331,St Peter's (Tower Hamlets),13,Europe: Other Europe: Rest of Europe: Other Europe,120
E05009331,St Peter's (Tower Hamlets),14,Africa: North Africa,18
E05009331,St Peter's (Tower Hamlets),15,Africa: Central and Western Africa,46
E05009331,St Peter's (Tower Hamlets),16,Africa: South and Eastern Africa,34
E05009331,St Peter's (Tower Hamlets),17,Middle East and Asia: Middle East,29
E05009331,St Peter's (Tower Hamlets),18,Middle East and Asia: Eastern Asia,198
E05009331,St Peter's (Tower Hamlets),19,Middle East and Asia: Southern Asia,697
